address,date,discount,floor_elevator,link,price,rooms,sqft_m2
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta  sin ascensor,http://idealista.com/inmueble/85250417/,1578.0,1,60.0
"Piso en paseo de Gracia, La Dreta de l'Eixample, Barcelona",2020-10-20,0,6ª planta exterior con ascensor,http://idealista.com/inmueble/84755067/,5000.0,5,180.0
"Piso en calle Balmes, La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 oct,http://idealista.com/inmueble/91360505/,1060.0,1,55.0
"Piso en paseo de Gracia, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/91261336/,2000.0,1,64.0
"Piso en calle de Girona, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/90904997/,1100.0,2,66.0
"Piso en ronda Sant Pere, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/91186649/,2090.0,4,130.0
"Piso en Roger de Lluria, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/90480376/,2500.0,5,188.0
"Piso en calle de Mallorca, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/90098624/,1400.0,3,77.0
"Piso en ROSSELLO, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/89728770/,1250.0,2,85.0
"Piso en ROSSELLO, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/89334024/,1250.0,2,85.0
"Piso en Rbla. Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/89236625/,2900.0,3,153.0
"Piso en calle de Pau Claris, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta interior con ascensor,http://idealista.com/inmueble/89234617/,1450.0,2,85.0
