address,bathrooms,date,discount,floor_elevator,link,price,realestate,rooms,sqft_m2
"Aribau, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1500,APROPERTIES REAL ESTATE Nº Aicat 6388,3,95
"Carrer Ample, Barri Gòtic",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1293,APROPERTIES REAL ESTATE Nº Aicat 6388,1,57
"Gran Via de Les Corts Catalanes, Dreta de l'Eixample",3,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,3100,APROPERTIES REAL ESTATE Nº Aicat 6388,3,170
"Gran Via de Les Corts Catalanes, Dreta de l'Eixample",3,2020-10-22,1.510 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,3990,APROPERTIES REAL ESTATE Nº Aicat 6388,6,290
"Carrer de Manresa, Sant Pere, Sta. Caterina i la Ribera",1,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1000,APROPERTIES REAL ESTATE Nº Aicat 6388,1,55
"Mallorca, Dreta de l'Eixample",3,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,3500,APROPERTIES REAL ESTATE Nº Aicat 6388,4,188
"Entença, La Nova Esquerra de l'Eixample",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2000,APROPERTIES REAL ESTATE Nº Aicat 6388,1,130
"Carrer de Berenguer Mallol, La Barceloneta",1,2020-10-22,,0,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1150,APROPERTIES REAL ESTATE Nº Aicat 6388,1,56
"Avinguda Diagonal, Sant Gervasi- Galvany",3,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,4200,APROPERTIES REAL ESTATE Nº Aicat 6388,4,200
"Carrer de Pau Claris, Barri Gòtic",1,2020-10-22,150 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1350,APROPERTIES REAL ESTATE Nº Aicat 6388,1,55
