address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2
Horta - Guinardó,1,Flat,Flat,1,2022-03-07,0,0,False,41.43312,/ca/lloguer/vivenda/barcelona-capital/horta/162800795/d,2.160541,721,PRINCIPAL PRIMERA,9202750551673,2,51
"Mata, Sants - Montjuïc",1,Flat,Flat,,2022-03-07,38,1,False,41.3729,/ca/lloguer/vivenda/barcelona-capital/ascensor/158187713/d,2.17063,775,ACBAR REAL ESTATE,9202761615353,3,54
"Ganduxer, Sarrià - Sant Gervasi",1,Flat,Flat,3,2022-03-07,0,1,False,41.3959,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-ascensor-moblat/160724744/d,2.136683,2500,ALL4FLAT,9202762177806,1,50
"Carrer Balmes, 233, Sarrià - Sant Gervasi",3,Apartment,Flat,,2022-03-07,0,1,False,41.39914,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-terrassa-traster-ascensor-moblat/162208338/d,2.150204,2565,WITHFOR,9202767028461,5,257
"Carrer de Balmes, Sarrià - Sant Gervasi",1,Apartment,Flat,,2022-03-07,78,0,False,41.40411,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/162394219/d,2.141594,1917,Homelike,9202762567099,2,80
"Hondures, 78, Sant Andreu",1,Flat,Flat,,2022-03-07,0,1,False,41.42194,/en/rental/home/barcelona-capital/terrace-lift/162684635/d,2.187544,900,Peraire,9202765564524,3,80
Eixample,2,Flat,Flat,1,2022-03-07,0,1,False,41.37919,/en/rental/home/barcelona-capital/lift/161871788/d,2.14792,1180,FIN-PER,9202762973330,3,80
"Carrer de Prats de Molló, Sarrià - Sant Gervasi",1,Apartment,Flat,,2022-03-07,0,0,False,41.40123,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/158111904/d,2.138031,5750,Homelike,9202762567099,3,80
"Carrer Dels Tallers, Ciutat Vella",2,Apartment,Flat,,2022-03-07,0,0,False,41.38491,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/162367459/d,2.168538,1835,Homelike,9202762567099,2,65
"Av. Diagonal, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.40091,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/160899401/d,2.17583,1600,Homelike,9202762567099,1,45
"Avinguda Diagonal, Eixample",2,Flat,Flat,3,2022-03-07,0,1,False,41.39913,/en/rental/home/barcelona-capital/air-conditioning-heating-lift-not-furnished/162747617/d,2.171238,1050,PUNTO HABITAT,943003066102,3,100
"Passeig de Gracia, Gràcia",3,Flat,Flat,2,2022-03-07,100,1,False,41.39754,/en/rental/home/barcelona-capital/air-conditioning-heating-box-room-lift-pets-not-allowed-not-furnished/159720454/d,2.158681,3100,ENGEL & VOELKERS,9202758116439,5,208
Ciutat Vella,2,Flat,Flat,,2022-03-07,0,0,False,41.38452,/en/rental/home/barcelona-capital/air-conditioning-heating-furnished-television/162548297/d,2.175979,1795,SH Barcelona,9202752325093,3,90
"Font Honrada, Sants - Montjuïc",1,Flat,Flat,,2022-03-07,0,0,False,41.37247,/en/rental/home/barcelona-capital/air-conditioning-heating-furnished/162681351/d,2.156162,1200,RS GROUP,9202759306905,2,70
Sarrià - Sant Gervasi,3,Flat,Flat,3,2022-03-07,0,1,False,41.39991,/en/rental/home/barcelona-capital/air-conditioning-heating-parking-terrace-box-room-lift/161210110/d,2.129018,3490,PRINCIPAL PRIMERA,9202750551673,5,243
"Ronda de Sant Pere, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.38842,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/162213011/d,2.170729,3420,Homelike,9202762567099,1,65
Eixample,1,Attic,Flat,,2022-03-07,0,1,False,41.39178,/en/rental/home/barcelona-capital/air-conditioning-heating-parking-terrace-box-room-lift-furnished/162679522/d,2.167295,2700,MONIKA RÜSCH,9202753807547,1,55
"En Serra 5, Ciutat Vella",2,Flat,Flat,1,2022-03-07,175,0,False,41.38016,/en/rental/home/barcelona-capital/heating-terrace-patio-furnished/162496375/d,2.178098,1700,ENGEL & VOELKERS,9202758116439,1,90
"Reina Amalia, Ciutat Vella",2,Flat,Flat,,2022-03-07,0,1,False,41.37749,/en/rental/home/barcelona-capital/air-conditioning-heating-garden-terrace-lift-swimming-pool-furnished-swimming-pool/162447291/d,2.165875,1800,RS GROUP,9202759306905,2,80
"Vilamari, Eixample",1,Flat,Flat,,2022-03-07,0,1,False,41.38013,/en/rental/home/barcelona-capital/lift/162566202/d,2.147999,895,CIDEB,9202751167891,3,60
Horta - Guinardó,1,Flat,Flat,1,2022-03-07,0,0,False,41.43312,/en/rental/home/barcelona-capital/horta/162800795/d,2.160541,721,PRINCIPAL PRIMERA,9202750551673,2,51
"Mata, Sants - Montjuïc",1,Flat,Flat,,2022-03-07,38,1,False,41.3729,/en/rental/home/barcelona-capital/lift/158187713/d,2.17063,775,ACBAR REAL ESTATE,9202761615353,3,54
"Ganduxer, Sarrià - Sant Gervasi",1,Flat,Flat,3,2022-03-07,0,1,False,41.3959,/en/rental/home/barcelona-capital/air-conditioning-lift-furnished/160724744/d,2.136683,2500,ALL4FLAT,9202762177806,1,50
"Carrer Balmes, 233, Sarrià - Sant Gervasi",3,Apartment,Flat,,2022-03-07,0,1,False,41.39914,/en/rental/home/barcelona-capital/air-conditioning-heating-terrace-box-room-lift-furnished/162208338/d,2.150204,2565,WITHFOR,9202767028461,5,257
Eixample,2,Flat,Flat,1,2022-03-07,0,0,False,41.39312,/en/rental/home/barcelona-capital/air-conditioning-heating-box-room-furnished/162199345/d,2.151164,5800,ENGEL & VOELKERS,9202758116439,1,230
"Carrer D'aribau, Eixample",2,Apartment,Flat,,2022-03-07,0,0,False,41.38873,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/161168980/d,2.15933,2025,Homelike,9202762567099,2,60
"Carrer de Los Castillejos, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.40985,/en/rental/home/barcelona-capital/air-conditioning-heating-internet/161149891/d,2.174024,140210,Homelike,9202762567099,2,55
"Av. Diagonal, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.40066,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/157285402/d,2.175708,1600,Homelike,9202762567099,1,45
"Carrer Dels Pellaires, Sant Martí",1,Apartment,Flat,,2022-03-07,426,0,False,41.40457,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/159623325/d,2.209946,1767,Homelike,9202762567099,1,56
Gràcia,1,Flat,Flat,2,2022-03-07,0,1,False,41.40107,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-terrassa-ascensor-s-hi-accepten-animals-de-companyia/162759284/d,2.163496,1400,CAPOLRA,9202763524627,2,53
Les Corts,3,Flat,Flat,,2022-03-07,0,1,False,41.3912,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-parking-terrassa-zona-comunitaria-ascensor/162695426/d,2.131492,2235,MONIKA RÜSCH,9202753807547,5,130
"Carrer de Dante Alighieri, 40, Horta - Guinardó",2,Flat,Flat,1,2022-03-07,0,1,False,41.4286,/ca/lloguer/vivenda/barcelona-capital/calefaccio-terrassa-traster-ascensor-no-moblat/162425281/d,2.16007,1350,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,9202753825457,3,106
Sarrià - Sant Gervasi,2,Flat,Flat,,2022-03-07,0,1,False,41.39478,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-ascensor-piscina-no-moblat/162756381/d,2.150401,2400,ENGEL & VOELKERS,9202758116439,3,91
"Proclamacio, Ciutat Vella",2,Flat,Flat,,2022-03-07,0,0,False,41.37987,/ca/lloguer/vivenda/barcelona-capital/moblat/161788200/d,2.191191,1450,ENGEL & VOELKERS,9202758116439,2,45
Sarrià - Sant Gervasi,6,House_Chalet,Flat,,2022-03-07,0,1,False,41.4164,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-parking-terrassa-ascensor-piscina-moblat-internet/155519373/d,2.110377,20000,MONIKA RÜSCH,9202753807547,10,620
"Carrer de Roger de Flor, Eixample",2,Apartment,Flat,,2022-03-07,0,0,False,41.39305,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/160245432/d,2.180389,11744,Homelike,9202762567099,3,80
"Avinguda Meridiana, Sant Andreu",1,Flat,Flat,1,2022-03-07,0,1,False,41.41913,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-zona-comunitaria-ascensor-piscina-no-moblat/162751579/d,2.187245,1238,PUNTO HABITAT,943003066102,1,55
"Reina Amalia, Ciutat Vella",2,Flat,Flat,1,2022-03-07,0,1,False,41.37745,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-ascensor-moblat/161792646/d,2.165937,1600,ALL4FLAT,9202762177806,2,80
"Carrer de Sancho de Ávila, Sant Martí",1,Apartment,Flat,,2022-03-07,0,0,False,41.39757,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/158112050/d,2.189038,3117,Homelike,9202762567099,1,45
"Sabateret, Ciutat Vella",1,Flat,Flat,3,2022-03-07,0,0,False,41.3858,/ca/lloguer/vivenda/barcelona-capital/calefaccio-moblat/162685105/d,2.182345,1100,ALL4FLAT,9202762177806,1,50
"Carrer de Balmes, Sarrià - Sant Gervasi",1,Apartment,Flat,,2022-03-07,78,0,False,41.40411,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/162394219/d,2.141594,1917,Homelike,9202762567099,2,80
"Hondures, 78, Sant Andreu",1,Flat,Flat,,2022-03-07,0,1,False,41.42194,/ca/lloguer/vivenda/barcelona-capital/terrassa-ascensor/162684635/d,2.187544,900,Peraire,9202765564524,3,80
Les Corts,5,House_Chalet,Flat,3,2022-03-07,0,0,False,41.38931,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-amueblado/162732242/d,2.107661,18000,Dcano,9202766748029,6,700
"Carrer de Valencia, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.40249,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-television-internet/162663207/d,2.176265,1150,Homelike,9202762567099,1,22
"Carrer D'aragó, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.39862,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-internet/160963467/d,2.172659,3500,Homelike,9202762567099,1,40
"Avinguda Diagonal, 580, Sarrià - Sant Gervasi",3,Attic,Flat,,2022-03-07,500,1,False,41.39388,/en/rental/home/barcelona-capital/heating-lift/160552318/d,2.147912,3000,WITHFOR,9202767028461,3,220
"Travessera de Gracia, Horta - Guinardó",1,Apartment,Flat,,2022-03-07,0,0,False,41.41067,/en/rental/home/barcelona-capital/heating-television-internet/159622992/d,2.17229,2700,Homelike,9202762567099,4,140
"Carrer de la Indústria, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.41018,/en/rental/home/barcelona-capital/air-conditioning-heating-television-internet/157285886/d,2.175162,3596,Homelike,9202762567099,2,55
Eixample,2,Flat,Flat,1,2022-03-07,0,1,False,41.37919,/ca/lloguer/vivenda/barcelona-capital/ascensor/161871788/d,2.14792,1180,FIN-PER,9202762973330,3,80
"Carrer de Prats de Molló, Sarrià - Sant Gervasi",1,Apartment,Flat,,2022-03-07,0,0,False,41.40123,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/158111904/d,2.138031,5750,Homelike,9202762567099,3,80
"Carrer Dels Tallers, Ciutat Vella",2,Apartment,Flat,,2022-03-07,0,0,False,41.38491,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/162367459/d,2.168538,1835,Homelike,9202762567099,2,65
"Av. Diagonal, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.40091,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/160899401/d,2.17583,1600,Homelike,9202762567099,1,45
"Avinguda Diagonal, Eixample",2,Flat,Flat,3,2022-03-07,0,1,False,41.39913,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-ascensor-no-moblat/162747617/d,2.171238,1050,PUNTO HABITAT,943003066102,3,100
"Passeig de Gracia, Gràcia",3,Flat,Flat,2,2022-03-07,100,1,False,41.39754,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-traster-ascensor-s-hi-accepten-animals-de-companyia-no-moblat/159720454/d,2.158681,3100,ENGEL & VOELKERS,9202758116439,5,208
Ciutat Vella,2,Flat,Flat,,2022-03-07,0,0,False,41.38452,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-moblat-televisio/162548297/d,2.175979,1795,SH Barcelona,9202752325093,3,90
"Font Honrada, Sants - Montjuïc",1,Flat,Flat,,2022-03-07,0,0,False,41.37247,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-moblat/162681351/d,2.156162,1200,RS GROUP,9202759306905,2,70
Sarrià - Sant Gervasi,3,Flat,Flat,3,2022-03-07,0,1,False,41.39991,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-parking-terrassa-traster-ascensor/161210110/d,2.129018,3490,PRINCIPAL PRIMERA,9202750551673,5,243
"Ronda de Sant Pere, Eixample",1,Apartment,Flat,,2022-03-07,0,0,False,41.38842,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-televisio-internet/162213011/d,2.170729,3420,Homelike,9202762567099,1,65
Eixample,1,Attic,Flat,,2022-03-07,0,1,False,41.39178,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-parking-terrassa-traster-ascensor-moblat/162679522/d,2.167295,2700,MONIKA RÜSCH,9202753807547,1,55
"En Serra 5, Ciutat Vella",2,Flat,Flat,1,2022-03-07,175,0,False,41.38016,/ca/lloguer/vivenda/barcelona-capital/calefaccio-terrassa-pati-moblat/162496375/d,2.178098,1700,ENGEL & VOELKERS,9202758116439,1,90
Eixample,2,Flat,Flat,1,2022-03-07,0,0,False,41.39312,/ca/lloguer/vivenda/barcelona-capital/aire-condicionat-calefaccio-traster-moblat/162199345/d,2.151164,5800,ENGEL & VOELKERS,9202758116439,1,230
"Dels Almogàvers, Sant Martí",1,Apartment,Flat,,2022-03-07,0,0,False,41.39159,/es/alquiler/vivienda/barcelona-capital/television-internet/158068642/d,2.183077,1750,Homelike,9202762567099,3,75
"Carrer del Marquès de Barberà, Ciutat Vella",1,Apartment,Flat,,2022-03-07,0,0,False,41.37806,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-television-internet/161892500/d,2.172119,1600,Homelike,9202762567099,1,55
"Carrer del Francolí, Sarrià - Sant Gervasi",1,Apartment,Flat,,2022-03-07,0,0,False,41.40341,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-television-internet/161454206/d,2.146125,5240,Homelike,9202762567099,3,65
"Carrer del Comte Borrell, Eixample",2,Attic,Flat,,2022-03-07,22,1,False,41.3893,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor/159330524/d,2.14664,1314,ARNAL  Servicios Inmobiliarios,9202750542526,3,60
"Passatge D'escudellers, Ciutat Vella",2,Flat,Flat,1,2022-03-07,450,1,False,41.37915,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-internet/161299772/d,2.176603,2350,JÜRGEN WEISS INMOBILIARIA,9202763703850,3,107
"Carrer de Muntaner, Sarrià - Sant Gervasi",1,Loft,Flat,1,2022-03-07,0,1,False,41.40433,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-zona-comunitaria-ascensor-no-amueblado/162676291/d,2.136145,1000,FINQUES FERRE,943003064633,0,60
"Carrer del Comte Borrell, Eixample",1,Attic,Flat,,2022-03-07,0,1,False,41.38937,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-ascensor-no-amueblado/162676283/d,2.146687,1314,FINQUES FERRE,943003064633,3,60
